Loudness,Energy,Duration,Tempo,Year
-17.294,0.0,149.41995,150.059,1994
-16.28,0.0,58.40934,141.117,0
-7.759,0.0,144.40444,148.661,2005
-8.931,0.0,371.25179,112.213,0
-3.59,0.0,183.53587,143.913,0
-9.516,0.0,310.77832,115.656,1993
-6.743,0.0,240.09098,130.019,0
-20.594,0.0,181.86404,104.717,0
-9.105,0.0,188.36853,98.705,2001
-8.814,0.0,223.7122,101.143,1994
-5.41,0.0,301.84444,104.02,0
-14.296,0.0,281.57342,125.778,0
-12.993,0.0,260.38812,106.68,0
-5.206,0.0,278.64771,94.084,1999
-25.661,0.0,150.09914,94.843,2006
-7.278,0.0,181.26322,140.979,2004
-12.508,0.0,283.6371,86.679,0
-7.184,0.0,342.43873,104.978,0
-5.329,0.0,158.95465,87.365,0
-7.711,0.0,155.97669,168.08,2005
-8.644,0.0,308.4273,124.057,0
-27.748,0.0,246.49098,101.131,0
-7.761,0.0,300.93016,125.994,2007
-10.507,0.0,190.51057,136.13,0
-8.677,0.0,325.14567,89.638,0
-7.228,0.0,92.23791,138.796,0
-13.35,0.0,209.44934,37.859,0
-8.512,0.0,247.58812,121.524,1994
-9.774,0.0,189.36118,112.78,2004
-4.388,0.0,353.95873,149.14,0
-13.234,0.0,91.19302,108.826,0
-5.144,0.0,153.44281,133.353,2005
-11.574,0.0,245.62893,110.226,1995
-5.608,0.0,285.85751,173.919,0
-8.649,0.0,114.52036,104.487,0
-5.849,0.0,210.33751,96.071,2003
-4.411,0.0,270.39302,0.0,1998
-15.733,0.0,162.0371,89.102,0
-11.425,0.0,230.66077,113.11,1979
-8.073,0.0,232.72444,95.039,0
-16.618,0.0,233.40363,76.731,0
-18.146,0.0,214.7522,153.08,1995
-5.688,0.0,278.96118,120.464,2005
-7.215,0.0,177.18812,159.041,0
-7.972,0.0,577.48853,127.983,0
-6.103,0.0,405.002,130.03,0
-7.3,0.0,231.00036,108.04,0
-8.353,0.0,185.44281,123.713,0
-7.622,0.0,249.23383,215.595,0
-6.748,0.0,287.50322,85.964,2007
-25.063,0.0,56.71138,47.421,0
-4.665,0.0,161.85424,130.862,2001
-28.197,0.0,201.79546,106.798,2007
-14.497,0.0,199.18322,98.128,0
-17.428,0.0,328.72444,88.928,1984
-4.048,0.0,152.68526,162.727,2000
-12.469,0.0,295.05261,88.384,1972
-13.017,0.0,278.12526,96.064,0
-8.648,0.0,199.3922,104.801,2005
-12.138,0.0,402.65098,168.004,0
-11.688,0.0,132.54485,91.684,0
-8.491,0.0,292.12689,175.43,1997
-12.863,0.0,136.77669,134.654,1999
-16.764,0.0,262.89587,108.504,2004
-20.931,0.0,159.84281,0.0,0
-9.465,0.0,545.74975,142.646,1969
-12.755,0.0,140.30322,117.537,1994
-3.936,0.0,218.46159,145.1,2009
-4.008,0.0,240.40444,191.144,2003
-5.231,0.0,204.22485,150.085,0
-9.559,0.0,224.02567,179.965,0
-10.709,0.0,106.63138,156.239,0
-12.528,0.0,122.33098,182.773,0
-13.354,0.0,190.6673,140.424,1995
-7.915,0.0,240.01261,123.015,0
-8.316,0.0,313.93914,101.439,0
-14.631,0.0,277.7073,87.882,0
-25.127,0.0,341.05424,131.816,0
-9.698,0.0,167.26159,175.048,0
-9.151,0.0,205.06077,148.252,2006
-6.961,0.0,235.75465,187.314,1983
-7.205,0.0,268.2771,145.962,2007
-7.992,0.0,127.37261,164.648,1993
-12.601,0.0,360.30649,107.053,1999
-11.271,0.0,152.42404,106.637,1993
-9.716,0.0,256.13016,158.136,0
-8.729,0.0,590.00118,136.826,1998
-6.667,0.0,213.75955,91.312,0
-5.071,0.0,197.25016,77.399,2008
-10.222,0.0,138.70975,181.41,1966
-7.885,0.0,216.05832,149.169,0
-6.787,0.0,276.37506,132.093,2007
-8.03,0.0,242.23302,171.377,0
-5.325,0.0,193.43628,184.023,2004
-13.54,0.0,239.64689,124.237,0
-5.338,0.0,212.63628,141.325,0
-14.635,0.0,178.46812,158.322,0
-9.163,0.0,296.09751,84.821,2004
-14.259,0.0,211.17342,113.151,0
-10.953,0.0,170.63138,124.335,0
-8.351,0.0,330.65751,91.097,1991
-10.305,0.0,283.71546,99.144,0
-10.674,0.0,170.55302,164.828,0
-7.227,0.0,938.00444,102.606,0
-13.879,0.0,229.25016,102.392,0
-7.399,0.0,208.1171,190.035,0
-11.345,0.0,121.20771,95.514,0
-10.323,0.0,165.61587,117.815,1990
-7.618,0.0,181.65506,95.673,2002
-8.596,0.0,209.31873,150.117,0
-6.918,0.0,248.97261,125.251,0
-9.05,0.0,203.49342,129.915,0
-7.721,0.0,277.62893,163.96,2000
-20.845,0.0,150.85669,181.968,0
-4.815,0.0,255.60771,89.347,2009
-8.127,0.0,245.7073,101.044,1994
-3.183,0.0,380.42077,158.34,2003
-12.125,0.0,262.5824,115.848,0
-31.109,0.0,277.18485,95.13,0
-24.012,0.0,262.922,88.183,0
-7.789,0.0,186.06975,110.043,0
-12.347,0.0,177.8673,121.483,0
-7.852,0.0,275.12118,130.002,1998
-15.959,0.0,159.58159,83.122,0
-6.392,0.0,329.40363,121.487,0
-13.296,0.0,134.94812,63.16,1997
-13.483,0.0,281.49506,94.335,0
-4.198,0.0,373.75955,146.999,0
-8.85,0.0,293.8771,167.156,0
-7.008,0.0,192.20853,148.735,0
-5.066,0.0,238.21016,84.971,0
-34.162,0.0,16.40444,30.553,0
-14.612,0.0,265.92608,116.629,0
-11.685,0.0,162.16771,109.509,0
-7.842,0.0,273.89342,115.823,2008
-11.719,0.0,162.58567,94.301,0
-17.225,0.0,252.02893,149.039,1977
-5.726,0.0,127.79057,194.012,2005
-8.151,0.0,214.25587,149.921,0
-22.386,0.0,53.86404,81.646,0
-15.412,0.0,152.842,166.935,0
-14.618,0.0,164.77995,47.447,0
-10.021,0.0,252.44689,113.287,2007
-10.062,0.0,139.62404,120.643,1989
-5.315,0.0,334.68036,169.423,0
-5.91,0.0,169.87383,136.044,0
-10.697,0.0,192.80934,38.443,1936
-14.372,0.0,351.50322,85.003,2008
-6.583,0.0,207.20281,100.364,0
-10.448,0.0,431.75138,215.006,0
-6.913,0.0,173.68771,132.462,0
-14.101,0.0,148.47955,106.545,0
-12.361,0.0,170.47465,117.726,2008
-12.114,0.0,684.79955,125.147,0
-20.803,0.0,277.83791,154.188,0
-13.248,0.0,239.80363,165.252,0
-5.935,0.0,172.87791,98.173,2008
-11.06,0.0,225.33179,86.794,0
-7.908,0.0,345.96526,129.146,2006
-6.112,0.0,264.12363,139.243,2001
-18.75,0.0,198.73914,165.903,0
-9.324,0.0,180.92363,86.249,0
-7.403,0.0,103.52281,107.002,2004
-3.638,0.0,204.06812,78.019,0
-6.875,0.0,269.19138,90.894,2000
-11.253,0.0,246.93506,115.938,1993
-5.461,0.0,488.41098,124.037,2009
-15.631,0.0,148.11383,92.293,1994
-7.049,0.0,193.85424,162.226,0
-5.673,0.0,205.73995,155.793,2001
-9.742,0.0,133.27628,83.953,1981
-12.387,0.0,258.61179,115.185,0
-7.111,0.0,232.64608,145.858,2004
-4.07,0.0,219.61098,132.369,1983
-13.431,0.0,466.33751,125.049,0
-9.265,0.0,194.0371,101.235,2000
-4.733,0.0,274.38975,78.612,0
-15.478,0.0,136.82893,54.468,0
-8.219,0.0,257.48853,119.697,0
-4.671,0.0,228.15302,113.978,0
-5.071,0.0,279.71873,147.998,2005
-14.363,0.0,217.05098,160.043,0
-12.941,0.0,218.56608,162.394,0
-10.688,0.0,274.80771,91.919,0
-17.85,0.0,193.20118,139.866,1989
-8.148,0.0,158.40608,200.562,0
-6.628,0.0,305.55383,116.795,2009
-3.337,0.0,184.24118,160.126,2007
-7.534,0.0,245.28934,100.415,2010
-10.42,0.0,174.52363,108.556,0
-11.442,0.0,218.87955,84.994,0
-21.115,0.0,267.4673,161.694,0
-2.348,0.0,209.162,109.505,2005
-9.144,0.0,126.79791,184.279,0
-19.65,0.0,36.20526,84.212,1998
-42.472,0.0,462.0273,131.619,0
-6.288,0.0,215.66649,93.08,2001
-9.072,0.0,236.59057,132.684,2006
-14.582,0.0,201.22077,179.008,0
-6.513,0.0,218.53995,137.938,2005
-9.85,0.0,222.87628,140.069,1995
-5.365,0.0,339.25179,117.706,1994
-14.241,0.0,217.93914,101.799,1991
-3.741,0.0,521.63873,174.792,2003
-13.332,0.0,173.26975,130.839,0
-32.331,0.0,333.89669,76.953,0
-7.91,0.0,213.02812,85.992,0
-8.702,0.0,195.18649,148.244,0
-7.183,0.0,254.74567,98.176,0
-6.195,0.0,300.09424,143.947,0
-7.159,0.0,227.7873,94.986,0
-7.82,0.0,230.00771,96.0,0
-6.705,0.0,325.98159,132.986,2003
-18.199,0.0,169.01179,43.211,0
-1.83,0.0,134.50404,106.662,0
-9.473,0.0,354.66404,79.632,0
-12.186,0.0,143.59465,140.97,1999
-10.359,0.0,175.49016,109.097,1999
-23.94,0.0,160.93995,94.938,0
-8.342,0.0,283.19302,97.147,2000
-6.217,0.0,254.24934,147.892,0
-13.075,0.0,481.07057,147.173,0
-11.199,0.0,181.39383,122.838,1989
-5.97,0.0,214.43873,133.01,0
-8.071,0.0,231.57506,139.066,0
-3.201,0.0,278.25587,125.523,0
-12.685,0.0,269.84444,129.761,1975
-15.732,0.0,186.53995,82.653,0
-12.22,0.0,210.70322,111.379,0
-5.415,0.0,283.37587,204.791,2003
-2.255,0.0,175.25506,110.134,1998
-6.097,0.0,133.45914,144.717,2009
-7.397,0.0,300.72118,135.895,2002
-12.585,0.0,225.4624,128.171,1987
-3.16,0.0,342.36036,93.513,2005
-4.186,0.0,181.28934,105.393,2007
-14.03,0.0,197.04118,154.475,1974
-9.006,0.0,287.03302,151.215,0
-12.274,0.0,216.65914,102.176,1993
-15.508,0.0,151.92771,92.065,1997
-7.933,0.0,173.322,127.373,1983
-11.54,0.0,205.84444,131.724,1986
-7.667,0.0,160.7571,111.802,2000
-13.846,0.0,237.08689,136.964,1994
-10.829,0.0,163.05587,120.203,1973
-5.108,0.0,211.30404,86.979,1998
-17.471,0.0,109.03465,108.718,0
-6.013,0.0,133.95546,95.971,0
-7.0,0.0,336.43057,104.171,1987
-7.523,0.0,346.25261,134.909,2006
-6.676,0.0,210.85995,112.795,0
-6.466,0.0,496.06485,138.012,0
-7.517,0.0,171.78077,120.026,0
-1.026,0.0,215.11791,99.886,0
-14.676,0.0,89.12934,102.739,0
-9.285,0.0,322.35057,130.008,0
-17.68,0.0,511.21587,134.83,0
-19.164,0.0,380.86485,116.805,1992
-6.179,0.0,180.11383,126.531,1996
-5.922,0.0,310.41261,180.017,0
-9.713,0.0,199.8624,75.634,0
-7.216,0.0,220.73424,90.997,0
-4.097,0.0,225.61914,79.468,0
-21.515,0.0,166.76526,51.142,0
-13.012,0.0,242.18077,186.886,2005
-12.441,0.0,196.362,105.36,2002
-10.381,0.0,221.1522,106.955,0
-14.275,0.0,260.46649,82.533,0
-19.662,0.0,101.8771,125.028,2004
-3.825,0.0,262.08608,175.959,2000
-9.917,0.0,181.36771,103.342,0
-8.736,0.0,197.11955,101.967,0
-4.107,0.0,297.09016,128.229,0
-13.286,0.0,260.30975,134.88,0
-5.135,0.0,276.81914,136.164,0
-5.872,0.0,186.69669,133.227,0
-15.019,0.0,175.22893,71.705,1992
-10.915,0.0,166.24281,139.981,1998
-5.559,0.0,224.86159,97.073,2003
-6.368,0.0,514.45506,130.013,2004
-9.816,0.0,204.38159,116.729,0
-5.01,0.0,229.58975,157.137,0
-16.104,0.0,247.77098,111.063,1998
-5.62,0.0,381.28281,127.968,2010
-23.949,0.0,209.3971,124.494,1979
-13.822,0.0,295.99302,141.121,1992
-6.138,0.0,232.41098,156.527,0
-7.773,0.0,215.77098,130.04,0
-6.803,0.0,257.54077,92.115,0
-7.097,0.0,125.962,111.959,0
-4.656,0.0,262.89587,113.361,2008
-13.45,0.0,213.21098,71.233,0
-4.385,0.0,290.69016,99.784,2009
-21.011,0.0,177.42322,170.024,2009
-33.662,0.0,93.33506,69.979,2007
-11.835,0.0,173.19138,120.969,1996
-14.72,0.0,180.61016,105.445,0
-12.692,0.0,207.90812,148.382,2007
-17.1,0.0,190.06649,138.165,1978
-10.803,0.0,281.80853,119.826,0
-7.856,0.0,363.36281,163.692,2001
-20.055,0.0,173.92281,41.945,1980
-16.481,0.0,283.27138,107.005,0
-12.492,0.0,351.34649,101.849,1992
-18.628,0.0,956.60363,47.794,0
-16.855,0.0,165.85098,107.669,1997
-12.647,0.0,210.59873,199.762,0
-4.58,0.0,220.36853,120.008,2007
-8.123,0.0,217.67791,87.533,0
-5.807,0.0,284.73424,161.353,0
-4.999,0.0,241.37098,105.201,2002
-8.999,0.0,167.65342,190.485,0
-11.136,0.0,269.81832,150.567,2002
-6.703,0.0,155.16689,174.005,0
-13.873,0.0,159.42485,104.618,0
-14.173,0.0,262.24281,97.977,1994
-6.866,0.0,180.11383,114.959,0
-16.238,0.0,202.55302,151.273,0
-14.383,0.0,393.76934,106.865,0
-7.055,0.0,224.91383,165.754,0
-5.898,0.0,103.41832,86.409,0
-28.536,0.0,255.21587,126.07,0
-11.105,0.0,315.48036,200.42,1995
-4.8,0.0,182.282,150.276,2004
-16.183,0.0,180.76689,130.588,0
-7.027,0.0,233.76934,133.29,0
-5.076,0.0,177.94567,160.03,2007
-13.262,0.0,346.22649,118.933,1995
-9.627,0.0,193.93261,127.719,0
-6.738,0.0,185.93914,210.691,2003
-13.298,0.0,178.88608,121.078,0
-6.079,0.0,231.73179,130.545,0
-9.018,0.0,231.33995,88.942,2002
-10.638,0.0,277.18485,61.82,0
-10.985,0.0,57.39057,172.9,1993
-8.665,0.0,239.0722,114.083,0
-6.21,0.0,253.07383,136.897,2004
-8.101,0.0,196.54485,107.303,0
-6.692,0.0,200.35873,135.525,0
-14.945,0.0,130.71628,137.959,0
-7.311,0.0,285.12608,107.944,1989
-9.781,0.0,231.54893,103.046,2001
-9.951,0.0,271.64689,148.142,0
-5.732,0.0,191.97342,162.987,0
-6.088,0.0,211.30404,125.348,2007
-15.636,0.0,280.73751,103.584,1991
-6.743,0.0,480.96608,137.924,0
-6.951,0.0,283.24526,97.882,1988
-5.065,0.0,297.45587,110.133,2000
-17.746,0.0,95.58159,150.028,0
-11.926,0.0,356.362,83.99,2000
-14.665,0.0,194.01098,103.694,0
-13.434,0.0,179.48689,139.947,0
-32.637,0.0,76.79955,91.249,1999
-8.592,0.0,202.91873,84.069,0
-9.868,0.0,287.55546,160.129,0
-12.785,0.0,245.44608,244.366,2005
-9.657,0.0,371.19955,107.886,1985
-5.98,0.0,228.38812,122.988,2009
-3.879,0.0,278.30812,107.053,0
-14.881,0.0,175.90812,117.298,0
-10.22,0.0,327.73179,149.853,1995
-12.373,0.0,85.15873,88.648,0
-15.006,0.0,157.3873,105.085,2000
-9.433,0.0,233.06404,199.826,1996
-6.79,0.0,185.10322,51.714,2009
-5.821,0.0,332.5122,196.106,0
-6.779,0.0,272.71791,111.132,1995
-8.361,0.0,237.322,128.502,1999
-11.123,0.0,202.68363,126.785,0
-5.174,0.0,280.39791,144.022,2004
-14.886,0.0,319.00689,109.305,1975
-10.501,0.0,172.85179,208.737,0
-4.456,0.0,225.59302,120.07,2008
-9.329,0.0,166.68689,122.678,0
-7.093,0.0,126.53669,121.666,0
-15.202,0.0,375.562,116.806,1970
-7.181,0.0,248.99873,124.332,1998
-17.045,0.0,439.17016,66.691,0
-12.652,0.0,339.66975,208.338,0
-3.082,0.0,250.5922,192.027,0
-9.969,0.0,125.88363,115.75,1998
-13.839,0.0,362.03057,161.529,1970
-15.493,0.0,174.602,86.475,0
-6.144,0.0,273.31873,137.942,0
-19.583,0.0,231.67955,83.255,0
-10.033,0.0,182.02077,147.597,0
-11.425,0.0,164.8322,130.453,2002
-19.052,0.0,168.88118,125.361,0
-23.366,0.0,43.88526,243.195,2003
-6.02,0.0,133.3024,137.158,0
-22.737,0.0,203.44118,68.388,0
-12.246,0.0,214.36036,109.293,2009
-13.533,0.0,179.93098,162.155,0
-9.974,0.0,277.41995,97.284,0
-9.314,0.0,310.41261,87.097,0
-7.807,0.0,115.17342,125.663,2008
-6.637,0.0,359.36608,122.934,2009
-5.914,0.0,169.53424,163.748,1984
-16.261,0.0,254.58893,142.479,0
-10.601,0.0,150.12526,109.518,0
-5.532,0.0,520.88118,141.746,2004
-5.536,0.0,290.37669,93.041,2007
-9.244,0.0,398.44526,150.3,1989
-9.147,0.0,254.95465,119.965,0
-14.682,0.0,165.38077,115.007,2009
-5.057,0.0,222.92853,118.056,2001
-4.373,0.0,182.62159,105.004,0
-7.659,0.0,188.49914,170.079,0
-5.765,0.0,291.39546,179.406,2002
-10.415,0.0,251.27138,113.86,1980
-2.664,0.0,237.58322,94.819,0
-13.795,0.0,248.99873,129.034,0
-4.78,0.0,190.30159,103.129,2000
-11.085,0.0,369.13587,121.842,0
-12.778,0.0,226.82077,45.43,0
-11.498,0.0,159.26812,173.423,1990
-4.314,0.0,78.91546,145.562,2009
-11.814,0.0,222.40608,95.051,2007
-3.848,0.0,287.7122,97.143,0
-24.2,0.0,244.6624,175.127,0
-12.039,0.0,139.49342,113.552,2008
-7.788,0.0,237.81832,160.001,0
-14.579,0.0,105.92608,107.93,0
-5.278,0.0,367.01995,88.57,2002
-4.793,0.0,200.35873,98.784,2008
-10.133,0.0,238.10567,77.885,1997
-7.204,0.0,202.1873,138.43,2006
-7.085,0.0,383.58159,124.969,0
-14.873,0.0,172.30322,107.081,1940
-3.432,0.0,209.44934,127.122,2000
-6.612,0.0,243.56526,89.335,2006
-16.673,0.0,82.9122,64.259,0
-9.341,0.0,199.8624,121.834,0
